Date;Pdc A [W];Pdc B [W];Pdc [W];Udc A [V];Udc B [V];Pac 1 [W];Pac 2 [W];Pac 3 [W];Pac [W];Uac 1 [V];Uac 2 [V];Uac 3 [V];Temp [°C];Temp2 [°C];Temp bat [°C];Pbat [W];Ubat [V];SOC [%];SOC targ [%];Pload [W];Pgrid feed [W];Pgrid load [W];Pgrid [W];Pext [W]
27.03.2024 02:20;5.6E-45;5.6E-45;1.1E-44;33.56771;26.931265;44.129288;44.04911;44.157295;132.3357;238.19449;237.66992;237.97412;22.777485;23.14692;20.633333;144.27536;398.40698;77.50491;97.0;132.40207;0.6340521;0.44440258;-0.18964952;0.0
27.03.2024 02:25;5.6E-45;5.6E-45;1.1E-44;33.59609;26.980995;45.549507;45.44728;45.56041;136.55719;238.18022;237.9913;238.20003;22.762156;23.116817;20.633333;147.8812;398.40698;77.3596;97.0;137.22868;0.21999662;0.82601666;0.60602003;0.0
27.03.2024 02:30;5.6E-45;5.6E-45;1.1E-44;33.594936;27.000765;43.967545;43.840683;43.941803;131.75003;238.12708;237.71893;238.19408;22.751926;23.12686;20.633333;144.05801;398.40698;77.2205;97.0;131.74231;0.36379117;0.51264024;0.14884907;0.0
27.03.2024 02:35;5.6E-45;5.6E-45;1.1E-44;33.690662;27.086866;43.69199;43.56579;43.652206;130.90999;237.89275;237.64574;238.007;22.751926;23.12686;20.633333;143.31438;398.3307;77.0807;97.0;130.27492;0.65262574;0.34911916;-0.30350658;0.0
27.03.2024 02:40;5.6E-45;5.6E-45;1.1E-44;33.816223;27.19374;42.288113;42.193417;42.31257;126.7941;237.54066;237.1526;237.52977;22.736572;23.121838;20.633333;140.16966;398.40698;76.94333;97.0;126.918076;0.45865506;0.4087443;-0.049910754;0.0
27.03.2024 02:45;5.6E-45;5.6E-45;1.1E-44;34.19096;27.492664;36.77759;36.66852;36.775307;110.22142;237.86522;237.71135;238.05412;22.731457;23.14692;20.625;126.1149;398.3307;76.82064;97.0;110.408066;0.29079247;0.7106773;0.41988486;0.0
27.03.2024 02:50;5.6E-45;5.6E-45;1.1E-44;34.046368;27.32929;37.580246;37.515915;37.63737;112.733536;237.49785;237.34894;237.724;22.731457;23.151936;20.625;128.16327;398.40698;76.69527;97.0;112.8639;0.45152217;0.4001222;-0.051399976;0.0
27.03.2024 02:55;5.6E-45;5.6E-45;1.1E-44;33.727486;27.03405;38.206818;38.09913;38.170277;114.47623;237.45647;237.20316;237.67857;22.736572;23.151936;20.625;129.48584;398.36884;76.56954;97.0;113.7839;0.6578292;0.15589704;-0.5019322;0.0
27.03.2024 03:00;5.6E-45;5.6E-45;1.1E-44;34.114887;27.353859;37.38122;37.293446;37.39245;112.067116;237.72789;237.37648;237.8067;22.741695;23.151936;20.600002;127.36357;398.36884;76.44448;97.0;111.960266;0.47547573;0.37060687;-0.10486886;0.0
27.03.2024 03:05;5.6E-45;5.6E-45;1.1E-44;34.207943;27.442045;35.8514;35.74192;35.839134;107.43246;237.71443;237.44783;237.8945;22.721214;23.151936;20.600002;123.542046;398.29254;76.324875;97.0;107.62257;0.39900956;0.430866;0.031856447;0.0
27.03.2024 03:10;5.6E-45;5.6E-45;1.1E-44;33.954327;27.240475;46.69585;46.623333;46.722084;140.04126;238.24344;238.02094;238.39798;22.726336;23.056469;20.591667;149.51683;398.29254;76.17766;97.0;139.72485;0.79452604;0.31169802;-0.48282802;0.0
27.03.2024 03:15;5.6E-45;5.6E-45;1.1E-44;33.664104;26.965498;57.71859;57.584286;57.652637;172.9555;238.35724;238.00137;238.5388;22.705837;23.061508;20.583334;180.89279;398.0255;76.00078;97.0;172.75415;0.47846717;0.4638625;-0.014604658;0.0
