Date;Pdc A [W];Pdc B [W];Pdc [W];Udc A [V];Udc B [V];Pac 1 [W];Pac 2 [W];Pac 3 [W];Pac [W];Uac 1 [V];Uac 2 [V];Uac 3 [V];Temp [°C];Temp2 [°C];Temp bat [°C];Pbat [W];Ubat [V];SOC [%];SOC targ [%];Pload [W];Pgrid feed [W];Pgrid load [W];Pgrid [W];Pext [W]
25.03.2024 03:15;5.6E-45;5.6E-45;1.1E-44;31.20129;24.786453;78.46614;78.32044;78.39334;235.17993;236.02275;235.72964;236.03764;22.69558;23.10175;21.125;266.08655;393.67676;58.370983;97.0;235.03691;0.17149444;0.68968683;0.5181924;0.0
25.03.2024 03:20;5.6E-45;5.6E-45;1.1E-44;30.974623;24.648048;78.70727;78.56897;78.6503;235.92654;235.86386;235.46562;235.82224;22.69558;23.14692;21.091665;266.81424;393.7149;58.136646;97.0;236.82642;0.14301106;0.6701219;0.5271108;0.0
25.03.2024 03:25;5.6E-45;5.6E-45;1.1E-44;30.619692;24.344063;75.525665;75.4215;75.51551;226.46268;235.87419;235.48935;235.92911;22.710962;23.246937;21.075;258.37405;393.7149;57.91062;97.0;226.39761;0.3369361;0.39933303;0.062396944;0.0
25.03.2024 03:30;5.6E-45;5.6E-45;1.1E-44;30.775404;24.48386;76.26174;76.115585;76.177055;228.55438;236.2268;236.00249;236.41388;22.716087;23.256908;21.058332;259.75323;393.60046;57.682556;97.0;230.02876;0.34416962;0.6746293;0.33045965;0.0
25.03.2024 03:35;5.6E-45;5.6E-45;1.1E-44;30.826014;24.53604;78.48693;78.36048;78.44712;235.29453;235.6153;235.3691;235.69624;22.705837;23.266878;21.033333;265.10312;393.56232;57.449036;97.0;235.67274;0.3487207;0.6109497;0.262229;0.0
25.03.2024 03:40;5.6E-45;5.6E-45;1.1E-44;30.770695;24.472908;77.374825;77.25314;77.33289;231.96085;235.95839;235.45197;236.02641;22.726336;23.291775;21.008335;262.43762;393.60046;57.218086;97.0;231.11365;0.45997635;0.3116224;-0.14835393;0.0
25.03.2024 03:45;5.6E-45;5.6E-45;1.1E-44;30.597876;24.295128;75.16229;75.04628;75.12076;225.32933;236.09529;235.725;236.00604;22.736572;23.311668;20.966667;256.48724;393.6386;56.992958;97.0;224.68723;0.43159547;0.40472558;-0.026869893;0.0
25.03.2024 03:50;5.6E-45;5.6E-45;1.1E-44;30.542612;24.250008;73.35222;73.24557;73.348755;219.94653;236.08777;235.72023;236.04974;22.751926;23.281818;20.941666;248.89758;393.6386;56.772488;97.0;219.30441;0.7060456;0.23486006;-0.47118556;0.0
25.03.2024 03:55;5.6E-45;5.6E-45;1.1E-44;30.630993;24.321333;48.806683;48.671642;48.75742;146.23575;236.13039;235.7175;236.2833;22.731457;23.121838;20.908333;153.49535;393.82935;56.617825;97.0;146.1828;0.3427885;0.52304596;0.18025747;0.0
25.03.2024 04:00;5.6E-45;5.6E-45;1.1E-44;30.41022;24.10605;48.1425;48.05514;48.162838;144.36049;235.33275;234.94041;235.3952;22.721214;23.076607;20.9;151.5804;393.7912;56.464928;97.0;144.18498;0.7085236;0.58735186;-0.12117171;0.0
25.03.2024 04:05;5.6E-45;5.6E-45;1.1E-44;30.092257;23.835836;52.95631;52.854652;52.944607;158.75557;237.6456;237.4619;237.74689;22.705837;23.026228;20.875;164.49643;393.75305;56.299114;97.0;159.12181;0.559501;0.5544724;-0.0050286055;0.0
25.03.2024 04:10;5.6E-45;5.6E-45;1.1E-44;30.33999;24.07045;53.010918;52.908882;52.998837;158.91864;237.55359;237.24182;237.753;22.70071;22.990885;20.858334;164.61894;393.75305;56.133236;97.0;158.78543;0.49660474;0.5588038;0.062199056;0.0
25.03.2024 04:15;5.6E-45;5.6E-45;1.1E-44;30.646639;24.35008;49.601723;49.51151;49.617348;148.73059;237.63666;237.23299;237.8057;22.675053;22.98583;20.825;154.93137;393.7149;55.9762;97.0;148.06084;0.6276546;0.38852906;-0.23912555;0.0
25.03.2024 04:20;5.6E-45;5.6E-45;1.1E-44;30.85139;24.555256;48.60371;48.524258;48.60977;145.73773;238.07483;237.67506;238.16391;22.664776;22.98583;20.8;153.20831;393.7912;55.82195;97.0;144.69374;0.78486395;0.41958487;-0.36527908;0.0
25.03.2024 04:25;5.6E-45;5.6E-45;1.1E-44;31.062853;24.753925;48.60179;48.49655;48.591896;145.69025;237.94458;237.76318;238.14096;22.659641;22.980776;20.775;153.3135;393.8675;55.66768;97.0;145.9506;0.6167387;0.67389613;0.057157457;0.0
25.03.2024 04:30;5.6E-45;5.6E-45;1.1E-44;31.817146;25.428532;48.456245;48.356922;48.43188;145.24506;237.94197;237.66806;238.1886;22.6545;22.94535;20.741667;152.92015;393.75305;55.51377;97.0;143.86353;0.7693003;0.42960933;-0.33969095;0.0
