(rct) ~/SAPDevelop/git/prv/rct-reader> python pv_reader.py --host HF-A21.fritz.box --listen-only 
Listening to inverter port

11:41:27: Response energy.e_grid_load_total (1660676060): value: 17236.916015625, type: 9
11:41:27: Response g_sync.p_ac_load_sum_lp (449346208): value: 251.15646362304688, type: 9
11:41:27: Response energy.e_load_total (4025791799): value: 244721.265625, type: 9
11:41:27: Response g_sync.i_dr_eff[0] (2314092213): value: 0.37796807289123535, type: 9
11:41:27: Response g_sync.i_dr_eff[1] (1695293143): value: 0.38307708501815796, type: 9
11:41:27: Response g_sync.i_dr_eff[2] (2461820971): value: 0.3890586495399475, type: 9
11:41:27: Response g_sync.u_l_rms[0] (3473223813): value: 237.7660369873047, type: 9
11:41:27: Response g_sync.u_l_rms[1] (1421109326): value: 237.37637329101562, type: 9
11:41:27: Response g_sync.u_l_rms[2] (625336877): value: 237.96800231933594, type: 9
11:41:27: Response g_sync.p_ac_grid_sum_lp (2439085144): value: -0.366817831993103, type: 9
11:41:27: Response grid_pll[0].f (474637919): value: 49.98561096191406, type: 9
11:41:27: Response energy.e_dc_total[0] (4235348638): value: 433463.125, type: 9
11:41:27: Response energy.e_dc_total[1] (1760492861): value: 446050.625, type: 9
11:41:27: Response energy.e_ac_total (2985256910): value: 841297.125, type: 9
11:41:27: Response io_board.s0_external_power (3916372036): value: 0.0, type: 9
11:41:27: Response energy.e_ac_day (3176501343): value: 1614.04638671875, type: 9
11:41:27: Response battery.stack_software_version[0] (1669879148): value: 5597, type: 6
11:41:27: Response battery.stack_software_version[1] (2773239429): value: 5597, type: 6
11:41:27: Response battery.stack_software_version[2] (3367638825): value: 5597, type: 6
11:41:27: Response battery.stack_software_version[3] (141325744): value: 5597, type: 6
11:41:27: Response battery.stack_software_version[4] (2752054975): value: 5597, type: 6
11:41:27: Response battery.stack_software_version[5] (4003722651): value: 0, type: 6
11:41:27: Response battery.stack_software_version[6] (1769240970): value: 0, type: 6
11:41:27: Response energy.e_dc_day[0] (719782898): value: 4702.91064453125, type: 9
11:41:27: Response energy.e_dc_day[1] (4227059351): value: 4762.314453125, type: 9
11:41:27: Response energy.e_ext_day (3114280697): value: 0.0, type: 9
11:41:27: Response energy.e_grid_feed_day (1015530741): value: -262.8941650390625, type: 9
11:41:27: Response energy.e_grid_load_day (2256400253): value: 1300.9417724609375, type: 9
11:41:27: Response energy.e_load_day (792468861): value: 2652.146484375, type: 9
11:41:27: Response prim_sm.island_flag (908318762): value: 2, type: 4



11:41:48: Response parameter_file (1757152077): value: DE_ARN4105_1811_200326, type: 10
11:41:48: Response with unknown type net.slave_data (<ObjectInfo(id=0xC0A7074F, name=net.slave_data)>): raw value: d5 8d af a7 50 53 20 31 30 2e 30 20 4b 32 45 38 00 00 00 00 00 00 00 00 00 00 00 00 75 2a 72 43 ea f3 1c c5 ad 88 54 3f 00 00 07 0d 00 00 00 00 32 2e 33 2e 35 36 37 33 00 00 00 00 00 00 00 00 30 30 36 35 42 34 30 32 30 31 37 39 33 39 00 00 00 00 00 00 dd 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
11:41:50: Response inverter_sn (2032446425): value: 0065B402017939, type: 10
11:41:51: Response buf_v_control.power_reduction_max_solar (1270937972): value: 9880.0, type: 9
11:41:51: Response g_sync.p_ac_lp[0] (1910573905): value: 80.34463500976562, type: 9
11:41:51: Response g_sync.p_ac_lp[1] (1847352184): value: 80.35128021240234, type: 9
11:41:51: Response g_sync.p_ac_lp[2] (3113389137): value: 80.24685668945312, type: 9
11:41:51: Response g_sync.u_zk_sum_mov_avg (605358981): value: 767.4261474609375, type: 9
11:41:51: Response g_sync.p_ac_sum_lp (3677186478): value: 240.94276428222656, type: 9
11:41:51: Response battery.ah_capacity (3044759997): value: 25.0, type: 9
11:41:51: Response battery.current (563485528): value: -6.209000110626221, type: 9
11:41:51: Response acc_conv.i_acc_lp_fast (184407759): value: -6.1687846183776855, type: 9
